2021-08-12 18:13:18,850 epoch 1 done, accu_1 = 0.347747, accu_10 = 0.546882
2021-08-12 18:26:08,803 epoch 2 done, accu_1 = 0.373236, accu_10 = 0.553937
2021-08-12 18:39:03,994 epoch 3 done, accu_1 = 0.429677, accu_10 = 0.590123
2021-08-12 18:52:01,331 epoch 4 done, accu_1 = 0.387802, accu_10 = 0.549158
2021-08-12 19:04:56,670 epoch 5 done, accu_1 = 0.430132, accu_10 = 0.592854
2021-08-20 18:06:41,374 epoch 1 done, accu_1 = 0.212335, accu_10 = 0.449932
2021-08-20 18:38:54,506 epoch 2 done, accu_1 = 0.236686, accu_10 = 0.499772
2021-08-20 19:10:20,308 epoch 3 done, accu_1 = 0.258534, accu_10 = 0.535731
2021-08-20 21:16:21,595 epoch 1 done, accu_1 = 0.170232, accu_10 = 0.367091
2021-08-27 14:05:54,792 epoch 1 done, accu_1 = 0.170460, accu_10 = 0.368457
2021-08-27 19:56:46,689 epoch 1 done, accu_1 = 0.080792, accu_10 = 0.326582
2021-08-27 20:07:22,403 epoch 2 done, accu_1 = 0.081020, accu_10 = 0.326809
2021-08-27 20:30:04,414 epoch 1 done, accu_1 = 0.201639, accu_10 = 0.553482
2021-08-27 20:37:47,019 epoch 2 done, accu_1 = 0.224852, accu_10 = 0.576696
2021-08-27 20:43:26,292 epoch 3 done, accu_1 = 0.233045, accu_10 = 0.586254
2021-08-27 20:49:05,804 epoch 4 done, accu_1 = 0.236231, accu_10 = 0.589668
2021-08-27 20:54:47,514 epoch 5 done, accu_1 = 0.239417, accu_10 = 0.591261
2021-08-27 20:58:15,170 epoch 6 done, accu_1 = 0.240783, accu_10 = 0.592171
2021-08-27 21:00:00,788 epoch 7 done, accu_1 = 0.240555, accu_10 = 0.592171
2021-08-27 21:01:55,415 epoch 8 done, accu_1 = 0.240100, accu_10 = 0.591944
2021-08-27 21:03:50,718 epoch 9 done, accu_1 = 0.240328, accu_10 = 0.591944
2021-08-27 21:05:39,099 epoch 10 done, accu_1 = 0.240328, accu_10 = 0.591944
2021-08-27 21:07:33,389 epoch 11 done, accu_1 = 0.240100, accu_10 = 0.592171
2021-08-27 21:10:48,568 epoch 12 done, accu_1 = 0.239873, accu_10 = 0.592171
2021-08-27 21:17:30,586 epoch 13 done, accu_1 = 0.240100, accu_10 = 0.591944
2021-08-27 21:24:06,589 epoch 14 done, accu_1 = 0.240328, accu_10 = 0.591944
2021-08-27 21:30:45,379 epoch 15 done, accu_1 = 0.240555, accu_10 = 0.591944
2021-08-27 21:37:20,416 epoch 16 done, accu_1 = 0.240328, accu_10 = 0.591944
2021-08-27 21:43:55,224 epoch 17 done, accu_1 = 0.240100, accu_10 = 0.591944
2021-08-27 21:49:55,657 epoch 18 done, accu_1 = 0.240100, accu_10 = 0.591944
2021-08-27 21:55:30,366 epoch 19 done, accu_1 = 0.240328, accu_10 = 0.591944
2021-08-27 21:57:36,133 epoch 20 done, accu_1 = 0.239873, accu_10 = 0.591944
2021-08-27 22:02:47,754 epoch 21 done, accu_1 = 0.240100, accu_10 = 0.592171
2021-08-27 22:08:38,527 epoch 22 done, accu_1 = 0.239873, accu_10 = 0.591944
2021-08-27 22:42:40,218 epoch 1 done, accu_1 = 0.201639, accu_10 = 0.553482
2021-08-27 22:44:42,189 epoch 2 done, accu_1 = 0.224852, accu_10 = 0.576696
2021-08-27 22:46:41,560 epoch 3 done, accu_1 = 0.233045, accu_10 = 0.586254
2021-08-27 22:48:43,746 epoch 4 done, accu_1 = 0.236231, accu_10 = 0.589668
2021-08-27 22:50:25,443 epoch 5 done, accu_1 = 0.239417, accu_10 = 0.591261
2021-08-27 22:52:24,894 epoch 6 done, accu_1 = 0.240783, accu_10 = 0.592171
2021-08-27 22:54:15,140 epoch 7 done, accu_1 = 0.240555, accu_10 = 0.592171
2021-08-27 22:56:15,220 epoch 8 done, accu_1 = 0.240100, accu_10 = 0.591944
2021-08-27 22:58:15,712 epoch 9 done, accu_1 = 0.240328, accu_10 = 0.591944
2021-08-27 23:00:17,605 epoch 10 done, accu_1 = 0.240328, accu_10 = 0.591944
2021-08-27 23:02:18,271 epoch 11 done, accu_1 = 0.240100, accu_10 = 0.592171
2021-08-27 23:04:13,817 epoch 12 done, accu_1 = 0.239873, accu_10 = 0.592171
2021-08-27 23:05:58,524 epoch 13 done, accu_1 = 0.240100, accu_10 = 0.591944
2021-08-27 23:07:51,624 epoch 14 done, accu_1 = 0.240328, accu_10 = 0.591944
2021-08-27 23:09:49,304 epoch 15 done, accu_1 = 0.240555, accu_10 = 0.591944
2021-08-27 23:11:43,508 epoch 16 done, accu_1 = 0.240328, accu_10 = 0.591944
2021-08-27 23:13:40,089 epoch 17 done, accu_1 = 0.240100, accu_10 = 0.591944
2021-08-27 23:15:37,690 epoch 18 done, accu_1 = 0.240100, accu_10 = 0.591944
2021-08-27 23:17:32,758 epoch 19 done, accu_1 = 0.240328, accu_10 = 0.591944
2021-08-27 23:19:28,448 epoch 20 done, accu_1 = 0.239873, accu_10 = 0.591944
2021-08-27 23:21:29,610 epoch 21 done, accu_1 = 0.240100, accu_10 = 0.592171
2021-08-27 23:23:24,913 epoch 22 done, accu_1 = 0.239873, accu_10 = 0.591944
2021-08-27 23:25:17,749 epoch 23 done, accu_1 = 0.240100, accu_10 = 0.592171
2021-08-27 23:27:17,604 epoch 24 done, accu_1 = 0.239873, accu_10 = 0.591944
2021-08-27 23:29:12,718 epoch 25 done, accu_1 = 0.239873, accu_10 = 0.591716
2021-08-27 23:31:09,246 epoch 26 done, accu_1 = 0.239873, accu_10 = 0.591716
2021-08-27 23:33:05,553 epoch 27 done, accu_1 = 0.239873, accu_10 = 0.591716
2021-08-27 23:35:04,886 epoch 28 done, accu_1 = 0.240100, accu_10 = 0.592171
2021-08-27 23:37:02,409 epoch 29 done, accu_1 = 0.240100, accu_10 = 0.592171
2021-08-27 23:39:07,122 epoch 30 done, accu_1 = 0.239873, accu_10 = 0.592171
2021-08-27 23:41:01,394 epoch 31 done, accu_1 = 0.239873, accu_10 = 0.591944
2021-08-27 23:43:03,036 epoch 32 done, accu_1 = 0.239873, accu_10 = 0.591716
2021-08-27 23:44:49,847 epoch 33 done, accu_1 = 0.239873, accu_10 = 0.591716
2021-08-27 23:46:47,936 epoch 34 done, accu_1 = 0.239873, accu_10 = 0.591716
2021-08-27 23:48:42,353 epoch 35 done, accu_1 = 0.239417, accu_10 = 0.591261
2021-08-27 23:50:39,675 epoch 36 done, accu_1 = 0.239645, accu_10 = 0.591488
2021-08-27 23:52:36,697 epoch 37 done, accu_1 = 0.239417, accu_10 = 0.591261
2021-08-27 23:54:34,088 epoch 38 done, accu_1 = 0.238735, accu_10 = 0.591261
2021-08-27 23:56:29,379 epoch 39 done, accu_1 = 0.239417, accu_10 = 0.591261
2021-08-27 23:58:21,540 epoch 40 done, accu_1 = 0.239645, accu_10 = 0.591261
2021-08-28 00:00:20,483 epoch 41 done, accu_1 = 0.239645, accu_10 = 0.591261
2021-08-28 00:02:17,297 epoch 42 done, accu_1 = 0.239645, accu_10 = 0.591261
2021-08-28 00:04:09,771 epoch 43 done, accu_1 = 0.239417, accu_10 = 0.591261
2021-08-28 00:06:06,768 epoch 44 done, accu_1 = 0.239873, accu_10 = 0.591716
2021-08-28 00:08:03,292 epoch 45 done, accu_1 = 0.239873, accu_10 = 0.591716
2021-08-28 00:09:54,378 epoch 46 done, accu_1 = 0.239873, accu_10 = 0.591716
2021-08-28 00:11:48,619 epoch 47 done, accu_1 = 0.239873, accu_10 = 0.591716
2021-08-28 00:14:05,085 epoch 48 done, accu_1 = 0.239873, accu_10 = 0.591716
2021-08-28 00:16:29,730 epoch 49 done, accu_1 = 0.239873, accu_10 = 0.591716
2021-08-28 12:42:17,241 epoch 1 done, accu_1 = 0.207328, accu_10 = 0.568958
2021-08-28 12:44:11,449 epoch 2 done, accu_1 = 0.232362, accu_10 = 0.597633
2021-08-28 12:46:09,380 epoch 3 done, accu_1 = 0.241466, accu_10 = 0.604461
